1347	0
13341	0
29405	0
1423	1
2065	1
10239	1
13594	1
15069	1
17606	1
19540	1
25816	1
1855	2
2287	2
2785	2
7081	2
7167	2
8118	2
8126	2
13129	2
17211	2
21909	2
22791	2
22894	2
23080	2
26068	2
8983	3
10108	3
28733	3
991	4
2108	4
2769	4
3746	4
6119	4
10467	4
12782	4
12788	4
13556	4
14379	4
15511	4
18021	4
22048	4
25997	4
26308	4
28677	4
751	5
2100	5
3282	5
4530	5
5531	5
6692	5
7296	5
8726	5
8853	5
11744	5
12743	5
13781	5
14422	5
17451	5
17546	5
20687	5
21180	5
22535	5
23335	5
24174	5
24438	5
24834	5
26284	5
26482	5
26780	5
2952	6
3806	6
10353	6
22326	6
28601	6
779	7
5773	7
5781	7
6156	7
6157	7
9035	7
9185	7
12042	7
12727	7
17005	7
18523	7
20384	7
20385	7
21080	7
22029	7
22159	7
22539	7
26661	7
599	8
1273	8
3400	8
5203	8
9716	8
10372	8
10700	8
11191	8
11601	8
11728	8
13446	8
15849	8
18556	8
20038	8
22156	8
22522	8
24751	8
25697	8
26347	8
29427	8
2563	9
3293	9
3372	9
4052	9
4281	9
5227	9
5673	9
5688	9
6503	9
8581	9
9346	9
9381	9
9605	9
9883	9
10412	9
10536	9
10770	9
11156	9
11229	9
11477	9
11677	9
12986	9
13368	9
14300	9
14948	9
19266	9
20051	9
20224	9
20270	9
20665	9
22488	9
23435	9
25251	9
25378	9
25761	9
27188	9
27484	9
29518	9
29551	9
29883	9
509	10
1791	10
8472	10
10156	10
13393	10
16886	10
25228	10
1267	11
3185	11
5828	11
6457	11
9444	11
9700	11
9847	11
11313	11
14235	11
18452	11
18680	11
19146	11
20320	11
22228	11
29952	11
8174	12
19885	12
21024	12
21025	12
1243	13
10383	13
12831	13
19401	13
21526	13
28716	13
1794	14
2006	14
8651	14
8817	14
13393	14
22228	14
1104	15
1430	15
5714	15
6667	15
23500	15
23639	15
23644	15
27291	15
28956	15
28959	15
661	16
3444	16
3521	16
8805	16
11631	16
12754	16
13374	16
18913	16
19982	16
23965	16
26804	16
29264	16
29270	16
2593	17
20081	17
24656	17
24722	17
8663	18
10681	18
3372	19
19973	19
20647	19
21229	19
21943	19
22985	19
24962	19
5960	20
25198	20
2065	21
5737	21
6720	21
8545	21
8902	21
9634	21
14888	21
15176	21
15588	21
17061	21
17294	21
17521	21
17606	21
19047	21
20431	21
25015	21
25018	21
25849	21
26890	21
820	22
1059	22
3248	22
4237	22
4264	22
4536	22
4989	22
4994	22
7791	22
10152	22
10189	22
11972	22
13394	22
13866	22
18598	22
18600	22
20466	22
21104	22
21499	22
21903	22
22686	22
23231	22
23611	22
25320	22
25444	22
26513	22
26635	22
26699	22
26924	22
29260	22
827	23
6474	23
